page_title,revision_id,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
"Abbeville, Alabama",1171163550,C,0.31042252456158204,0.5979200965294227,0.025186220917133947,0.04952133645299354,0.013573873336789355,0.0033759482020785892
"Adamsville, Alabama",1177621427,C,0.198274200391586,0.3770695177348356,0.019070364455845708,0.3514876684327692,0.05026148902798659,0.003836759956977147
"Addison, Alabama",1168359898,C,0.27104076563661905,0.324459707767518,0.011265514086494389,0.29487067754320384,0.0931882446366844,0.005175090329480344
"Akron, Alabama",1165909508,GA,0.175388344565975,0.2655870765311225,0.011556876058535826,0.4485841879139288,0.09350806348909406,0.005375451441343951
"Alabaster, Alabama",1179139816,C,0.270971932616856,0.6463838191722866,0.009590992690925318,0.033641571757281816,0.036340860820955355,0.003070822941694893
"Albertville, Alabama",1179198677,C,0.33263794328683494,0.5751561883917391,0.026008649369378935,0.051684120237779414,0.011184137224920173,0.0033289614893475604
"Alexander City, Alabama",1179140073,GA,0.1873023626039258,0.36649319284269144,0.027896630393037452,0.38946719113684847,0.024584055969215264,0.004256567054281696
"Aliceville, Alabama",1167792390,GA,0.20198124560955472,0.13509962361851774,0.07861623936036671,0.563504503507844,0.015865103287081316,0.004933284616635347
"Allgood, Alabama",1165909718,C,0.16219405303675014,0.41782026391994503,0.010149562531121712,0.1850061182357893,0.21980553887436025,0.005024463402033478
"Altoona, Alabama",1165909823,C,0.17430027322924055,0.37911769151376484,0.00673312937006604,0.16495069663790005,0.2692120242824542,0.005686184966574241
"Andalusia, Alabama",1179141586,C,0.2275935425747731,0.7152848185993487,0.015084471443457979,0.02179461353211194,0.017462796406715886,0.002779757443592586
"Anderson, Lauderdale County, Alabama",662691565,Stub,0.005980504062539046,0.004988847014648282,0.0014366331939514683,0.0017443432022016716,0.025843107936842385,0.9600065645898173
"Anniston, Alabama",1176049382,C,0.42286844227559306,0.4996479291271476,0.01814933202286123,0.05106893179538358,0.006001697665735151,0.0022636671132795507
"Arab, Alabama",1171375371,C,0.253309359044102,0.6432795873347886,0.013306720273871706,0.05859171262911122,0.027740182519877483,0.0037724381982489276
"Ardmore, Alabama",1176903479,GA,0.22818300757839702,0.24246940721335333,0.022458138652495043,0.47927676394572927,0.023374517257583903,0.004238165352441523
"Argo, Alabama",1177623964,C,0.20021994652643463,0.5010326084853298,0.008432007788033177,0.06576851578436918,0.21858900620141375,0.005957915214419485
"Ariton, Alabama",1166014478,C,0.1840026491875852,0.3716995981499297,0.009388299214033965,0.304449728765206,0.12562291502846654,0.0048368096547785734
"Arley, Alabama",1166014498,C,0.1698474983473493,0.43678356239656313,0.007858483567101452,0.10886422763437427,0.2712969926803318,0.005349235374280012
"Ashford, Alabama",1166014593,C,0.26313101572396325,0.5076345265021112,0.030009039111377436,0.15745510067773463,0.03665593239296192,0.005114385591851517
"Ashland, Alabama",1174331705,C,0.20297599744933617,0.6873775862224841,0.011847282054601602,0.04534126482480335,0.04895387056900438,0.003503998879770297
"Ashville, Alabama",1148844011,C,0.24209438496451288,0.5872272175961485,0.011379934878399282,0.1263828803277334,0.029238908188509095,0.00367667404469672
"Athens, Alabama",1175308807,C,0.2542818605171777,0.6788147150234589,0.012177589443981719,0.04398896211957344,0.008482333246049129,0.002254539649759035
"Atmore, Alabama",1167926420,C,0.3384463125943764,0.5142265349676649,0.05253324667392488,0.07805737118004427,0.012509581932427053,0.0042269526515624255
"Attalla, Alabama",1165507856,C,0.19501122776194593,0.7339320121006048,0.00809212482547164,0.03566286962451266,0.024386248721208554,0.002915516966256688
"Auburn, Alabama",1179878794,C,0.46180556450710536,0.4704410460109622,0.025547819875636247,0.03179127561961027,0.0077727976082568396,0.002641496378429135
"Autaugaville, Alabama",1166014815,C,0.2676898061857159,0.5167177114690923,0.018120048994155827,0.11506308190107663,0.07647980807327125,0.005929543376688112
"Avon, Alabama",1166014861,Start,0.12939754672371567,0.2799342709496991,0.005062128785642548,0.041746114812266956,0.5343819233157122,0.009478015412963538
"Babbie, Alabama",1168820544,Start,0.09298166621266706,0.2588782614783478,0.005560659050548327,0.024650717874444457,0.6018576582279719,0.016071037156020502
"Baileyton, Alabama",1166014939,C,0.210242121017179,0.375500687664685,0.006885197853075764,0.06744377153694694,0.3319675232869717,0.007960698641141569
"Bakerhill, Alabama",1166014954,Start,0.1086531544480206,0.32290123016790545,0.00765413284858313,0.021213657007659936,0.4557591793729471,0.08381864615488388
"Banks, Alabama",1166014997,C,0.21512903390033053,0.37172696541743033,0.008087805758358817,0.2013997632143299,0.1951610560903452,0.008495375619205225
"Bay Minette, Alabama",1177963600,C,0.1899637047092272,0.42210588522330383,0.017664711344449864,0.3215710550939828,0.04405410117522117,0.004640542453815094
"Bayou La Batre, Alabama",1177999052,C,0.26253523960450137,0.6380840140266173,0.03626469722885297,0.045886514589962714,0.014054302883973871,0.003175231666091781
"Bear Creek, Alabama",1166015184,GA,0.16514753850171635,0.3422212510919304,0.009079160301101155,0.4352797147656445,0.04381288468121745,0.004459450658390034
"Beatrice, Alabama",1166015214,C,0.15310883605839581,0.3337588398181915,0.006404078738770399,0.2545319057629949,0.24729414214509798,0.004902197476549399
"Beaverton, Alabama",1166015251,Start,0.17418440825100226,0.32887857189550956,0.008608383710953876,0.04355577596543445,0.4247359573114853,0.020036902865614634
"Belk, Alabama",1166015313,C,0.09688093752089394,0.5023929018094017,0.0050200165945422336,0.04687150473908942,0.3400766752253869,0.008757964110685641
"Benton, Alabama",1166015434,C,0.244346734071875,0.40069437539618186,0.009377750333530189,0.15298891618346952,0.186067309262254,0.006524914752689355
"Berlin, Alabama",1166015476,Start,0.09029021873330394,0.18316367269831105,0.005606843049007047,0.014460619939821643,0.6424629967869588,0.06401564879259748
"Berry, Alabama",1166015515,C,0.1893670822570881,0.3824023115866097,0.011160558609275097,0.23722736342185283,0.17407986147593588,0.005762822649238464
"Bessemer, Alabama",1178999596,C,0.25221039537817364,0.6696450104433117,0.024218234284328927,0.040038956423154776,0.011301179136111927,0.0025862243349191985
"Billingsley, Alabama",1166015695,Start,0.16474499450167504,0.33928059792509563,0.006795856781705437,0.044625937662446054,0.43469842078605353,0.009854192343024346
"Birmingham, Alabama",1179944837,B,0.7006615957121124,0.0896886630868649,0.06492571733784322,0.1312790912057683,0.010018090053737003,0.003426842603673919
"Black, Alabama",1166015772,Start,0.10696509288505232,0.25888254254597975,0.006087047545278121,0.02114433314939823,0.586387763189968,0.020533220684323436
"Blountsville, Alabama",1105978061,GA,0.21095931039856058,0.3479446312768345,0.01150688702864717,0.38420717144855115,0.04044784383885984,0.004934156008546862
"Blue Springs, Alabama",1166015902,Start,0.1331185924643714,0.3307202522764057,0.006608047562439869,0.02352600128274333,0.49208974212242285,0.013937364291616723
"Boaz, Alabama",1177138566,GA,0.1873767852574819,0.32053923457613775,0.012746715904818386,0.44983380389389516,0.02528626127921454,0.0042171990884522885
"Boligee, Alabama",1166015957,C,0.24240549109364334,0.4084690375394664,0.008535717428436762,0.11748096247904509,0.2172344352946354,0.00587435616477309
"Bon Air, Alabama",1166015981,C,0.15563764725046375,0.3522273989588879,0.008539456792848357,0.14745303810231936,0.3211936783667763,0.014948780528704238
"Brantley, Alabama",1165814013,C,0.22479925533718698,0.40293289397503174,0.0076972221437373095,0.0929669070061856,0.2616243073065001,0.009979414231358162
"Brent, Alabama",1172245542,GA,0.1578392645609202,0.36359348970612343,0.010720283421230806,0.4137832406591618,0.04988326958861519,0.004180452063948498
